timestamp,final_value
2026-01-10 19:48:36.263089+00:00,52.2
2026-01-10 19:47:36.255886+00:00,52.1
2026-01-10 19:46:36.254160+00:00,51.8
2026-01-10 19:45:36.246476+00:00,51.9
2026-01-10 19:44:36.234472+00:00,52.2
2026-01-10 19:43:36.229213+00:00,52.3
2026-01-10 19:42:36.227456+00:00,52.4
2026-01-10 19:41:36.110044+00:00,52.3
2026-01-10 19:40:36.379895+00:00,52.4
2026-01-10 19:39:36.199343+00:00,52.3
2026-01-10 19:38:36.192619+00:00,52.5
2026-01-10 19:37:36.305822+00:00,52.7
2026-01-10 19:36:36.281609+00:00,52.4
2026-01-10 19:35:36.277057+00:00,52.5
2026-01-10 19:34:36.308477+00:00,52.7
2026-01-10 19:33:36.272969+00:00,53.2
2026-01-10 19:32:36.271813+00:00,53.9
2026-01-10 19:31:36.306119+00:00,54.0
2026-01-10 19:30:36.258121+00:00,53.7
2026-01-10 19:29:36.242119+00:00,52.8
2026-01-10 19:28:36.238334+00:00,51.2
2026-01-10 19:27:36.232309+00:00,44.3
2026-01-10 19:26:36.227632+00:00,46.1
2026-01-10 19:25:36.220977+00:00,43.9
2026-01-10 19:24:36.512724+00:00,43.9
2026-01-10 19:23:36.522143+00:00,44.0
2026-01-10 19:22:36.217308+00:00,44.6
2026-01-10 19:21:36.206081+00:00,45.1
2026-01-10 19:20:36.193030+00:00,44.3
2026-01-10 19:19:36.177291+00:00,44.0
2026-01-10 19:18:36.364279+00:00,44.3
2026-01-10 19:17:36.165195+00:00,44.5
2026-01-10 19:16:36.151720+00:00,44.5
2026-01-10 19:15:36.151377+00:00,44.9
2026-01-10 19:14:36.136628+00:00,47.1
2026-01-10 19:13:36.126271+00:00,44.6
2026-01-10 19:12:36.224468+00:00,49.7
2026-01-10 19:11:36.112305+00:00,54.2
2026-01-10 19:10:36.108387+00:00,53.9
2026-01-10 19:09:36.096471+00:00,54.2
2026-01-10 19:08:36.033568+00:00,53.9
2026-01-10 19:07:36.186384+00:00,54.4
2026-01-10 19:06:36.173638+00:00,54.3
2026-01-10 19:05:36.164806+00:00,54.0
2026-01-10 19:04:36.156388+00:00,53.6
2026-01-10 19:03:36.147465+00:00,53.9
2026-01-10 19:02:36.138955+00:00,54.1
2026-01-10 19:01:36.135998+00:00,53.1
2026-01-10 19:00:36.625275+00:00,53.4
2026-01-10 18:45:27.592452+00:00,53.4
2026-01-10 18:15:27.677199+00:00,54.2
2026-01-10 18:14:31.521102+00:00,51.6
2026-01-10 15:56:17.035982+00:00,41.0
2026-01-10 15:41:17.129360+00:00,49.3
2026-01-10 15:26:17.332286+00:00,49.2
2026-01-10 15:11:17.322618+00:00,49.8
2026-01-10 14:26:16.651359+00:00,49.8
2026-01-10 14:11:16.853825+00:00,48.0
2026-01-10 13:56:17.394153+00:00,46.8
2026-01-10 13:26:17.095683+00:00,45.7
2026-01-10 13:18:16.064508+00:00,45.3
2026-01-10 13:03:16.224297+00:00,43.2
2026-01-10 12:48:16.169340+00:00,43.9
2026-01-10 12:33:16.147245+00:00,43.4
2026-01-10 12:18:16.146061+00:00,44.9
2026-01-10 12:03:16.145648+00:00,45.6
2026-01-10 11:48:16.150464+00:00,44.9
2026-01-10 11:33:16.405588+00:00,43.9
2026-01-10 11:18:16.602327+00:00,43.9
2026-01-10 11:03:16.402190+00:00,45.0
2026-01-10 10:48:16.410182+00:00,45.0
2026-01-10 10:33:16.248067+00:00,45.0
2026-01-10 10:18:16.143950+00:00,45.0
2026-01-10 10:03:16.144066+00:00,44.9
2026-01-10 09:48:16.502700+00:00,45.0
2026-01-10 09:33:16.503207+00:00,45.3
2026-01-10 09:18:16.342189+00:00,45.1
2026-01-10 09:03:16.238472+00:00,45.1
2026-01-10 08:48:16.246105+00:00,45.2
2026-01-10 08:33:16.603133+00:00,45.0
2026-01-10 08:18:16.442548+00:00,44.6
2026-01-10 08:03:16.599216+00:00,43.9
2026-01-10 07:48:16.338462+00:00,45.0
2026-01-10 07:33:16.354173+00:00,45.5
2026-01-10 07:18:16.344407+00:00,45.5
2026-01-10 07:03:16.700321+00:00,45.4
2026-01-10 06:48:16.544563+00:00,45.5
2026-01-10 06:33:16.446068+00:00,45.7
2026-01-10 06:18:16.447987+00:00,46.1
2026-01-10 06:03:16.799559+00:00,46.3
2026-01-10 05:48:16.638888+00:00,46.2
2026-01-10 05:33:16.643277+00:00,46.4
2026-01-10 05:18:16.540103+00:00,46.3
2026-01-10 05:03:16.541303+00:00,46.6
2026-01-10 04:48:16.743564+00:00,46.6
2026-01-10 04:33:16.633988+00:00,46.7
2026-01-10 04:18:16.637563+00:00,46.7
2026-01-10 04:03:16.646441+00:00,46.8
2026-01-10 03:48:16.681187+00:00,46.9
2026-01-10 03:33:16.640427+00:00,46.7
2026-01-10 03:18:16.735562+00:00,46.7
2026-01-10 03:03:16.752319+00:00,46.8
2026-01-10 02:48:16.786043+00:00,46.8
2026-01-10 02:33:16.736586+00:00,47.0
2026-01-10 02:18:16.838550+00:00,47.0
2026-01-10 02:03:16.860481+00:00,47.5
2026-01-10 01:48:16.892446+00:00,47.3
2026-01-10 01:33:16.831301+00:00,47.1
2026-01-10 01:18:16.828562+00:00,47.8
2026-01-10 01:03:16.972567+00:00,47.7
2026-01-10 00:48:16.999342+00:00,48.0
2026-01-10 00:33:16.935525+00:00,48.1
2026-01-10 00:18:16.939285+00:00,48.1
2026-01-10 00:03:17.082074+00:00,47.9
2026-01-09 23:48:17.108569+00:00,47.7
2026-01-09 23:33:17.280640+00:00,47.5
2026-01-09 23:18:17.038081+00:00,47.8
2026-01-09 23:03:17.018960+00:00,47.9
2026-01-09 22:33:17.584569+00:00,48.4
2026-01-09 22:18:17.376339+00:00,48.4
2026-01-09 22:03:17.122463+00:00,48.6
2026-01-09 21:48:17.114391+00:00,48.6
2026-01-09 21:33:17.476614+00:00,48.6
2026-01-09 21:18:17.800600+00:00,48.7
